Vertex,Edge,Dijkstra,DijkstraPriority
330,27060,0.003041378,0.001313644
335,27888,0.002994445,0.001263778
340,28730,0.002423912,0.001172356
345,29583,0.003664223,0.001484756
350,30450,0.003590401,0.001855822
355,31328,0.002648312,0.001240311
360,32220,0.004755912,0.002078266
365,33123,0.003191956,0.001519955
370,34040,0.003850489,0.0017028
375,34968,0.003913067,0.001800578
380,35910,0.003358178,0.001502356
385,36863,0.003504356,0.001640712
390,37830,0.003385556,0.0015532
395,38808,0.003408044,0.001573244
400,39800,0.004575511,0.002118356
405,40803,0.004226445,0.001947245
410,41820,0.003868578,0.001850445
415,42848,0.003722401,0.0017248
420,43890,0.004371645,0.00210809
425,44943,0.004935334,0.002381378
430,46010,0.0043736,0.001900311
435,47088,0.004438134,0.002725067
440,48180,0.00523209,0.002153067
445,49283,0.004733912,0.002071423
450,50400,0.005863245,0.002313912
455,51528,0.005313245,0.002244
460,52670,0.006034846,0.002245467
465,53823,0.005636401,0.003851467
470,54990,0.006862534,0.004674267
475,56168,0.006007956,0.004289512
480,57360,0.006652312,0.004785245
485,58563,0.006811689,0.004641511
490,59780,0.006270489,0.00465569
495,61008,0.006313512,0.00253489
500,62250,0.00698329,0.002652222
505,63503,0.008626446,0.003082934
510,64770,0.006018712,0.002510934
515,66048,0.00719889,0.002867334
520,67340,0.008977468,0.002796445
525,68643,0.007613468,0.003024267
530,69960,0.008789245,0.003427111
535,71288,0.007027779,0.002796934
540,72630,0.008506179,0.003628534
545,73983,0.008745245,0.003169956
550,75350,0.00799529,0.003592356
555,76728,0.008599068,0.00336209
560,78120,0.008872357,0.003344978
565,79523,0.010002668,0.00393849
570,80940,0.007884312,0.003130845
575,82368,0.007173467,0.004313467
580,83810,0.013978313,0.004529556
585,85263,0.009651646,0.003713112
590,86730,0.010633823,0.003848045
595,88208,0.00998849,0.003747823
600,89700,0.01095649,0.0039996
605,91203,0.009604712,0.003774223
610,92720,0.01109778,0.004444
615,94248,0.01334178,0.004625867
620,95790,0.016609513,0.005706801
625,97343,0.011023468,0.004157023
630,98910,0.012570312,0.004600445
635,100488,0.011356402,0.004400978
640,102080,0.011258135,0.004744178
645,103683,0.011829646,0.004362356
650,105300,0.014349869,0.004860534
655,106928,0.012307779,0.005497068
660,108570,0.015974446,0.005442312
665,110223,0.016965913,0.005994757
670,111890,0.015281691,0.005950268
675,113568,0.012205113,0.005285378
680,115260,0.013074357,0.004909423
685,116963,0.012975113,0.005715111
690,118680,0.016169024,0.005945867
695,120408,0.015478714,0.005761557
700,122150,0.016112802,0.005800179
705,123903,0.01857338,0.006348223
710,125670,0.014505824,0.00545209
715,127448,0.014972713,0.005668667
720,129240,0.017366313,0.00615609
725,131043,0.016608535,0.007013112
730,132860,0.018721025,0.006210357
735,134688,0.021594714,0.007456535
740,136530,0.015897202,0.006082756
745,138383,0.017520313,0.006261201
750,140250,0.015660091,0.006894312
755,142128,0.017454802,0.006489023
760,144020,0.019606402,0.007414001
765,145923,0.020837425,0.007518623
770,147840,0.020760669,0.008000667
775,149768,0.017712447,0.006844445
780,151710,0.018813914,0.00690849
785,153663,0.019544313,0.007954712
790,155630,0.016715113,0.006630801
795,157608,0.01731938,0.006574089
800,159600,0.019982358,0.007150978
805,161603,0.019607869,0.007461912
810,163620,0.022661959,0.007815868
815,165648,0.023069203,0.00790289
820,167690,0.021261292,0.008144401
825,169743,0.020254669,0.007675556
830,171810,0.023361559,0.00822849
835,173888,0.026708493,0.009003868
840,175980,0.021520403,0.007934668
845,178083,0.023257425,0.009974313
850,180200,0.023628003,0.00821089
855,182328,0.022759736,0.008184001
860,184470,0.021759958,0.008141956
865,186623,0.022244447,0.00847049
870,188790,0.024723603,0.008777023
875,190968,0.027658404,0.009244402
880,193160,0.02826707,0.009488357
885,195363,0.04033676,0.011526046
890,197580,0.025463292,0.009228268
895,199808,0.024027425,0.008876756
900,202050,0.028001603,0.009751868
905,204303,0.026827781,0.009740624
910,206570,0.03573876,0.011353957
915,208848,0.027349915,0.009727912
920,211140,0.030964759,0.010253468
925,213443,0.023217825,0.010021734
930,215760,0.026955871,0.009926401
935,218088,0.02641027,0.009835957
940,220430,0.026997914,0.009687335
945,222783,0.033000493,0.012204623
950,225150,0.033404805,0.011091913
955,227528,0.036146005,0.014130847
960,229920,0.026361382,0.01044609
965,232323,0.030063737,0.011542179
970,234740,0.028864982,0.010543869
975,237168,0.028600493,0.011705957
980,239610,0.032763382,0.011789557
985,242063,0.036911116,0.01210049
990,244530,0.030128271,0.011017112
995,247008,0.031240004,0.011278179
1000,249500,0.036173872,0.012445646
