Vertex,Edge,Dijkstra,DijkstraPriority
5,3,5.46089E-4,0.001087289
10,20,1.32489E-4,1.07067E-4
15,48,2.25866E-4,2.48844E-4
20,90,1.87733E-4,1.88222E-4
25,143,3.20712E-4,2.98222E-4
30,210,3.3E-4,3.49555E-4
35,288,4.24355E-4,3.51511E-4
40,380,5.02578E-4,3.46133E-4
45,483,3.72045E-4,4.08711E-4
50,600,4.50756E-4,5.17245E-4
55,728,6.38E-4,5.08444E-4
60,870,5.96444E-4,3.91112E-4
65,1023,7.60222E-4,4.64933E-4
70,1190,0.001531201,6.15511E-4
75,1368,0.001163067,6.468E-4
80,1560,0.002047956,7.77334E-4
85,1763,5.94E-4,7.48978E-4
90,1980,5.73467E-4,8.89289E-4
95,2208,6.74178E-4,0.001281867
100,2450,7.49956E-4,0.001425111
105,2703,0.001040844,6.60978E-4
110,2970,7.92489E-4,5.61245E-4
115,3248,7.31867E-4,6.26755E-4
120,3540,0.001798622,7.436E-4
125,3843,5.00133E-4,9.13733E-4
130,4160,6.81512E-4,6.01333E-4
135,4488,7.41644E-4,6.90311E-4
140,4830,8.25734E-4,6.56578E-4
145,5183,4.96711E-4,7.07911E-4
150,5550,3.96978E-4,3.53467E-4
155,5928,4.136E-4,2.56178E-4
160,6320,6.10622E-4,2.95778E-4
165,6723,4.06755E-4,2.55689E-4
170,7140,4.63956E-4,2.91867E-4
175,7568,6.63422E-4,3.84756E-4
180,8010,5.61244E-4,3.97956E-4
185,8463,7.69022E-4,3.91111E-4
190,8930,5.55867E-4,3.14844E-4
195,9408,8.78044E-4,4.00888E-4
200,9900,7.78311E-4,3.90134E-4
205,10403,8.38444E-4,4.55644E-4
210,10920,7.51911E-4,4.80578E-4
215,11448,9.46001E-4,5.21155E-4
220,11990,0.001084844,5.06977E-4
225,12543,9.12267E-4,5.31423E-4
230,13110,0.001145956,6.25778E-4
235,13688,0.001188978,6.08178E-4
240,14280,0.001176756,5.96444E-4
245,14883,0.001412889,6.89333E-4
250,15500,0.001606,7.36267E-4
255,16128,0.001224178,6.30667E-4
260,16770,0.001363023,6.84933E-4
265,17423,0.002144267,9.04445E-4
270,18090,0.0015224,7.48E-4
275,18768,0.001608934,7.93467E-4
280,19460,0.001562978,8.55556E-4
285,20163,0.0018876,8.73645E-4
290,20880,0.001699867,8.55555E-4
295,21608,0.002413156,0.001073112
300,22350,0.002046,0.001019822
305,23103,0.002345201,0.001071155
310,23870,0.0018216,9.23023E-4
315,24648,0.002286045,0.001031556
320,25440,0.0027236,0.001253023
325,26243,0.002385778,0.001067245
